iteration;temperature;cost;result
96;5472.1600000000035;6391.482031811665;["Lille" "Lyon" "Paris" "Caen" "Limoges" "Bordeaux" "Rennes" "Ajaccio" "Besançon" "Marseille" "Strasbourg" "Toulouse" "Lille"]
97;5471.8700000000035;6533.158770353972;["Lille" "Lyon" "Paris" "Caen" "Limoges" "Bordeaux" "Rennes" "Ajaccio" "Besançon" "Toulouse" "Strasbourg" "Marseille" "Lille"]
98;5471.580000000004;6978.778995149328;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Bordeaux" "Rennes" "Ajaccio" "Besançon" "Toulouse" "Strasbourg" "Marseille" "Lille"]
99;5471.290000000004;7685.688072379374;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Marseille" "Rennes" "Ajaccio" "Besançon" "Toulouse" "Strasbourg" "Bordeaux" "Lille"]
100;5471.000000000004;7285.850010408624;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Marseille" "Rennes" "Besançon" "Ajaccio" "Toulouse" "Strasbourg" "Bordeaux" "Lille"]
101;5470.710000000004;6353.351859627851;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Strasbourg" "Rennes" "Besançon" "Ajaccio" "Toulouse" "Marseille" "Bordeaux" "Lille"]
102;5470.420000000004;6753.1899215986;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Strasbourg" "Rennes" "Ajaccio" "Besançon" "Toulouse" "Marseille" "Bordeaux" "Lille"]
103;5470.130000000004;6753.1899215986;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Strasbourg" "Rennes" "Ajaccio" "Besançon" "Toulouse" "Marseille" "Bordeaux" "Lille"]
104;5469.840000000004;6754.806631077212;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Strasbourg" "Ajaccio" "Rennes" "Besançon" "Toulouse" "Marseille" "Bordeaux" "Lille"]
105;5469.550000000004;6755.301995488634;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Ajaccio" "Rennes" "Besançon" "Paris" "Marseille" "Bordeaux" "Lille"]
106;5469.260000000004;6297.078924093365;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Ajaccio" "Besançon" "Rennes" "Paris" "Marseille" "Bordeaux" "Lille"]
107;5468.970000000004;6427.250893728459;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Bordeaux" "Besançon" "Rennes" "Paris" "Marseille" "Ajaccio" "Lille"]
108;5468.680000000004;5653.0603625397025;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Besançon" "Bordeaux" "Rennes" "Paris" "Marseille" "Ajaccio" "Lille"]
109;5468.390000000004;5833.332650855305;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Paris" "Bordeaux" "Rennes" "Besançon" "Marseille" "Ajaccio" "Lille"]
110;5468.100000000004;5793.6931797478555;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Strasbourg" "Paris" "Bordeaux" "Rennes" "Besançon" "Ajaccio" "Marseille" "Lille"]
111;5467.810000000004;6254.492174007181;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Marseille" "Paris" "Bordeaux" "Rennes" "Besançon" "Ajaccio" "Strasbourg" "Lille"]
112;5467.520000000004;6034.734287128413;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Marseille" "Bordeaux" "Paris" "Rennes" "Besançon" "Ajaccio" "Strasbourg" "Lille"]
